Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/05/2026,01/06/2026,RAZ*Blinkit,Groceries,Sale,-3.03,
01/05/2026,01/05/2026,AUTOMATIC PAYMENT - THANK,,Payment,2159.56,
12/31/2025,01/02/2026,RAZ*Blinkit,Groceries,Sale,-5.00,
01/01/2026,01/01/2026,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
12/27/2025,12/29/2025,STARBUCKS 85151,Food & Drink,Sale,-26.13,
12/26/2025,12/28/2025,TARGET        00032904,Shopping,Sale,-62.19,
12/23/2025,12/24/2025,INNER SPIRIT STUDIO,Personal,Sale,-25.00,
12/23/2025,12/24/2025,INNER SPIRIT STUDIO,Personal,Sale,-25.00,
12/22/2025,12/23/2025,HASHI 2780 NYC  LLC,Groceries,Sale,-21.76,
12/22/2025,12/23/2025,TST* ZABAR'S GROCERY,Groceries,Sale,-57.78,
12/21/2025,12/22/2025,SQ *MAMA'S TOO! UPPER WES,Food & Drink,Sale,-9.00,
12/21/2025,12/22/2025,SQ *MAMA'S TOO! UPPER WES,Food & Drink,Sale,-55.00,
12/20/2025,12/22/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/21/2025,12/22/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/21/2025,12/22/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/21/2025,12/22/2025,SQ *MAMA'S TOO! UPPER WES,Food & Drink,Sale,-29.50,
12/20/2025,12/21/2025,SQ *RHYTHM ZERO,Food & Drink,Sale,-16.88,
12/19/2025,12/21/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/19/2025,12/21/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/21/2025,12/21/2025,HEATWISE,Personal,Sale,-38.00,
12/19/2025,12/21/2025,SQ *HERALD HAUS,Food & Drink,Sale,-8.71,
12/20/2025,12/21/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/20/2025,12/21/2025,SQ *FONTY'S DELI + DUKAAN,Food & Drink,Sale,-46.94,
12/16/2025,12/17/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/16/2025,12/17/2025,WESTSIDE MARKET 2589,Groceries,Sale,-6.00,
12/15/2025,12/16/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/11/2025,12/14/2025,SEPHORA 99TH &amp; COLUMBU,Shopping,Sale,-2.18,
12/11/2025,12/12/2025,TARGET        00033944,Shopping,Sale,-3.27,
12/11/2025,12/12/2025,HOMEGOODS #0515,Shopping,Sale,-4.34,
12/11/2025,12/12/2025,SQ *NEW GREAT SHAPE THREA,Personal,Sale,-26.58,
12/10/2025,12/11/2025,DEPOP,Shopping,Sale,-15.59,
12/08/2025,12/10/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/07/2025,12/09/2025,LONG TENG SPA,Food & Drink,Sale,-69.88,
